Building abbreviation,Building Name,Id
Atki,Atkins Library,1
Auxi,Auxiliary Services Building,2
BaTF,,3
Band,Barnhardt SAC,4
BelG,Belk Gymnasium,5
BelH,Belk Hall,6
Bioi,Bioinformatics,7
Burs,Burson,8
Cafe,Cafeteria Activities Building,9
Came,Cameron Hall,10
Cato,Cato Hall,11
CoEd,College of Education,12
Colv,Colvard,13
Cone,Cone University Center,14
Coun,Counselling Center,15
Denn,Denny,16
Duke,Duke Centennial Hall,17
EPIC,EPIC,18
FOPS,Facilities Operations,19
Faci,Facilities Management,20
Fret,Fretwell,21
Frid,Friday,22
Gage,Gage Undergraduate,23
Gari,Garinger,24
Grig,Grigg Hall,25
Harr,Harris Alumni Center,26
Heal,Health and Human Services,27
Hous,Holshouser Hall,28
HunH,Hunt Hall,29
Irwi,Irwin Belk Track & Field,30
JBui,J-Building,31
Kenn,Kennedy,32
King,King,33
Laur,Laurel Hall,34
Levi,Levine Hall,35
Lync,Lynch Hall,36
MSII,Army Buiding near Belk Gym,37
Macy,Macy,38
Mart,Martin Hall,39
McCo,,40
McEn,McEniry,41
McMi,McMillan Greenhouse,42
Memo,Memorial Hall,43
MilH,Miltimore Hall,44
Milt,Miltimore-Waillis Center,45
NERF,NRFC Fieldhouse,46
PORT,PORTAL,47
Phil,,48
Pros,Prospector,49
Rece,Receiving and Stores,50
Rees,Reese,51
Robi,Robinson Hall,52
Rowe,Rowe,53
SVDH,South Village Dining Hall,54
Scot,Scott Hall,55
Smit,Smith,56
SoTF,,57
Stor,Storrs,58
StuA,Student Activity Center,59
StuH,Student Health Center,60
StuU,Student Union,61
Syca,Sycamore Hall,62
Tenn,Halton Wagner Tennis Complex,63
UREC,University Recreational Center,64
Unio,,65
Wach,,66
Wall,Wallis Hall,67
Winn,Winningham,68
With,Witherspoon Hall,69
Wood,Woodward Hall,70